income-range,age-range,county,persons
< $10,< 25,06001,4357
< $10,25-44,06001,9723
< $10,45-64,06001,9935
< $10,65+,06001,5110
> $200,< 25,06001,187
> $200,25-44,06001,20363
> $200,45-64,06001,29585
> $200,65+,06001,5777
$10-15,< 25,06001,1511
$10-15,25-44,06001,6244
$10-15,45-64,06001,8596
$10-15,65+,06001,9817
$100-125,< 25,06001,577
$100-125,25-44,06001,23145
$100-125,45-64,06001,23783
$100-125,65+,06001,7099
$125-150,< 25,06001,251
$125-150,25-44,06001,15172
$125-150,45-64,06001,17542
$125-150,65+,06001,4619
$15-20,< 25,06001,1267
$15-20,25-44,06001,6565
$15-20,45-64,06001,6292
$15-20,65+,06001,8149
$150-199,< 25,06001,305
$150-199,25-44,06001,19933
$150-199,45-64,06001,23972
$150-199,65+,06001,4908
$20-25,< 25,06001,1037
$20-25,25-44,06001,6898
$20-25,45-64,06001,6808
$20-25,65+,06001,6619
$25-30,< 25,06001,1070
$25-30,25-44,06001,6833
$25-30,45-64,06001,6264
$25-30,65+,06001,6206
$30-35,< 25,06001,811
$30-35,25-44,06001,7131
$30-35,45-64,06001,6109
$30-35,65+,06001,4822
$35-40,< 25,06001,905
$35-40,25-44,06001,6932
$35-40,45-64,06001,6405
$35-40,65+,06001,4564
$40-45,< 25,06001,986
$40-45,25-44,06001,8070
$40-45,45-64,06001,6550
$40-45,65+,06001,4285
$45-50,< 25,06001,679
$45-50,25-44,06001,7189
$45-50,45-64,06001,5565
$45-50,65+,06001,3946
$50-60,< 25,06001,1270
$50-60,25-44,06001,14752
$50-60,45-64,06001,14378
$50-60,65+,06001,7149
$60-75,< 25,06001,1742
$60-75,25-44,06001,19652
$60-75,45-64,06001,19599
$60-75,65+,06001,8512
$75-100,< 25,06001,1635
$75-100,25-44,06001,26318
$75-100,45-64,06001,27879
$75-100,65+,06001,10717
total,< 25,06001,18590
total,25-44,06001,204920
total,45-64,06001,219262
total,65+,06001,102299
total,all,06001,545071
< $10,< 25,06013,1351
< $10,25-44,06013,4532
< $10,45-64,06013,5657
< $10,65+,06013,3350
> $200,< 25,06013,94
> $200,25-44,06013,13144
> $200,45-64,06013,26231
> $200,65+,06013,4540
$10-15,< 25,06013,673
$10-15,25-44,06013,3197
$10-15,45-64,06013,4313
$10-15,65+,06013,5490
$100-125,< 25,06013,392
$100-125,25-44,06013,14779
$100-125,45-64,06013,18480
$100-125,65+,06013,6185
$125-150,< 25,06013,165
$125-150,25-44,06013,9141
$125-150,45-64,06013,14704
$125-150,65+,06013,3893
$15-20,< 25,06013,769
$15-20,25-44,06013,3617
$15-20,45-64,06013,3502
$15-20,65+,06013,5102
$150-199,< 25,06013,257
$150-199,25-44,06013,12878
$150-199,45-64,06013,19999
$150-199,65+,06013,4295
$20-25,< 25,06013,656
$20-25,25-44,06013,4011
$20-25,45-64,06013,4359
$20-25,65+,06013,4704
$25-30,< 25,06013,616
$25-30,25-44,06013,4008
$25-30,45-64,06013,3496
$25-30,65+,06013,4317
$30-35,< 25,06013,772
$30-35,25-44,06013,3967
$30-35,45-64,06013,4615
$30-35,65+,06013,4294
$35-40,< 25,06013,448
$35-40,25-44,06013,3612
$35-40,45-64,06013,4251
$35-40,65+,06013,4600
$40-45,< 25,06013,517
$40-45,25-44,06013,5275
$40-45,45-64,06013,3905
$40-45,65+,06013,3764
$45-50,< 25,06013,278
$45-50,25-44,06013,4405
$45-50,45-64,06013,3980
$45-50,65+,06013,3706
$50-60,< 25,06013,983
$50-60,25-44,06013,8387
$50-60,45-64,06013,9653
$50-60,65+,06013,5974
$60-75,< 25,06013,750
$60-75,25-44,06013,11339
$60-75,45-64,06013,13866
$60-75,65+,06013,8507
$75-100,< 25,06013,781
$75-100,25-44,06013,15879
$75-100,45-64,06013,21236
$75-100,65+,06013,9214
total,< 25,06013,9502
total,25-44,06013,122171
total,45-64,06013,162247
total,65+,06013,81935
total,all,06013,375855
< $10,< 25,06041,166
< $10,25-44,06041,724
< $10,45-64,06041,1426
< $10,65+,06041,967
> $200,< 25,06041,0
> $200,25-44,06041,4835
> $200,45-64,06041,10616
> $200,65+,06041,3704
$10-15,< 25,06041,29
$10-15,25-44,06041,736
$10-15,45-64,06041,1515
$10-15,65+,06041,1664
$100-125,< 25,06041,81
$100-125,25-44,06041,2549
$100-125,45-64,06041,4997
$100-125,65+,06041,2616
$125-150,< 25,06041,10
$125-150,25-44,06041,2000
$125-150,45-64,06041,3765
$125-150,65+,06041,1858
$15-20,< 25,06041,129
$15-20,25-44,06041,818
$15-20,45-64,06041,928
$15-20,65+,06041,1487
$150-199,< 25,06041,0
$150-199,25-44,06041,3017
$150-199,45-64,06041,5644
$150-199,65+,06041,1987
$20-25,< 25,06041,82
$20-25,25-44,06041,761
$20-25,45-64,06041,1179
$20-25,65+,06041,1377
$25-30,< 25,06041,128
$25-30,25-44,06041,750
$25-30,45-64,06041,914
$25-30,65+,06041,1273
$30-35,< 25,06041,67
$30-35,25-44,06041,972
$30-35,45-64,06041,1204
$30-35,65+,06041,1458
$35-40,< 25,06041,65
$35-40,25-44,06041,862
$35-40,45-64,06041,1158
$35-40,65+,06041,1274
$40-45,< 25,06041,68
$40-45,25-44,06041,845
$40-45,45-64,06041,1567
$40-45,65+,06041,946
$45-50,< 25,06041,45
$45-50,25-44,06041,668
$45-50,45-64,06041,978
$45-50,65+,06041,1127
$50-60,< 25,06041,30
$50-60,25-44,06041,1581
$50-60,45-64,06041,2338
$50-60,65+,06041,1920
$60-75,< 25,06041,25
$60-75,25-44,06041,1900
$60-75,45-64,06041,3003
$60-75,65+,06041,2506
$75-100,< 25,06041,130
$75-100,25-44,06041,3162
$75-100,45-64,06041,5470
$75-100,65+,06041,2811
total,< 25,06041,1055
total,25-44,06041,26180
total,45-64,06041,46702
total,65+,06041,28975
total,all,06041,102912
< $10,< 25,06075,3286
< $10,25-44,06075,6617
< $10,45-64,06075,7781
< $10,65+,06075,5525
> $200,< 25,06075,546
> $200,25-44,06075,27826
> $200,45-64,06075,16170
> $200,65+,06075,4025
$10-15,< 25,06075,777
$10-15,25-44,06075,3525
$10-15,45-64,06075,6523
$10-15,65+,06075,10444
$100-125,< 25,06075,945
$100-125,25-44,06075,16705
$100-125,45-64,06075,10920
$100-125,65+,06075,4024
$125-150,< 25,06075,410
$125-150,25-44,06075,11225
$125-150,45-64,06075,8319
$125-150,65+,06075,2620
$15-20,< 25,06075,699
$15-20,25-44,06075,2399
$15-20,45-64,06075,4106
$15-20,65+,06075,5877
$150-199,< 25,06075,624
$150-199,25-44,06075,18481
$150-199,45-64,06075,10325
$150-199,65+,06075,2767
$20-25,< 25,06075,887
$20-25,25-44,06075,3444
$20-25,45-64,06075,4855
$20-25,65+,06075,4795
$25-30,< 25,06075,522
$25-30,25-44,06075,3484
$25-30,45-64,06075,3843
$25-30,65+,06075,3674
$30-35,< 25,06075,629
$30-35,25-44,06075,4094
$30-35,45-64,06075,4027
$30-35,65+,06075,3445
$35-40,< 25,06075,579
$35-40,25-44,06075,3370
$35-40,45-64,06075,3456
$35-40,65+,06075,2667
$40-45,< 25,06075,438
$40-45,25-44,06075,3793
$40-45,45-64,06075,3499
$40-45,65+,06075,2806
$45-50,< 25,06075,478
$45-50,25-44,06075,3747
$45-50,45-64,06075,3244
$45-50,65+,06075,2325
$50-60,< 25,06075,842
$50-60,25-44,06075,7961
$50-60,45-64,06075,6981
$50-60,65+,06075,3717
$60-75,< 25,06075,1007
$60-75,25-44,06075,11673
$60-75,45-64,06075,9066
$60-75,65+,06075,4597
$75-100,< 25,06075,979
$75-100,25-44,06075,17535
$75-100,45-64,06075,13680
$75-100,65+,06075,5714
total,< 25,06075,13648
total,25-44,06075,145879
total,45-64,06075,116795
total,65+,06075,69022
total,all,06075,345344
< $10,< 25,06081,642
< $10,25-44,06081,2079
< $10,45-64,06081,2866
< $10,65+,06081,2440
> $200,< 25,06081,89
> $200,25-44,06081,15390
> $200,45-64,06081,22030
> $200,65+,06081,4425
$10-15,< 25,06081,301
$10-15,25-44,06081,1153
$10-15,45-64,06081,1993
$10-15,65+,06081,3336
$100-125,< 25,06081,198
$100-125,25-44,06081,9663
$100-125,45-64,06081,11345
$100-125,65+,06081,4743
$125-150,< 25,06081,82
$125-150,25-44,06081,8316
$125-150,45-64,06081,9147
$125-150,65+,06081,3403
$15-20,< 25,06081,196
$15-20,25-44,06081,1597
$15-20,45-64,06081,1868
$15-20,65+,06081,3210
$150-199,< 25,06081,21
$150-199,25-44,06081,10278
$150-199,45-64,06081,12906
$150-199,65+,06081,3254
$20-25,< 25,06081,251
$20-25,25-44,06081,1863
$20-25,45-64,06081,2326
$20-25,65+,06081,3085
$25-30,< 25,06081,385
$25-30,25-44,06081,2333
$25-30,45-64,06081,2102
$25-30,65+,06081,3335
$30-35,< 25,06081,236
$30-35,25-44,06081,2795
$30-35,45-64,06081,2532
$30-35,65+,06081,2695
$35-40,< 25,06081,119
$35-40,25-44,06081,2024
$35-40,45-64,06081,2358
$35-40,65+,06081,2642
$40-45,< 25,06081,341
$40-45,25-44,06081,2777
$40-45,45-64,06081,3344
$40-45,65+,06081,2562
$45-50,< 25,06081,296
$45-50,25-44,06081,2710
$45-50,45-64,06081,2578
$45-50,65+,06081,2146
$50-60,< 25,06081,385
$50-60,25-44,06081,5808
$50-60,45-64,06081,5925
$50-60,65+,06081,4575
$60-75,< 25,06081,440
$60-75,25-44,06081,8134
$60-75,45-64,06081,9445
$60-75,65+,06081,5271
$75-100,< 25,06081,829
$75-100,25-44,06081,11998
$75-100,45-64,06081,14098
$75-100,65+,06081,6227
total,< 25,06081,4811
total,25-44,06081,88918
total,45-64,06081,106863
total,65+,06081,57349
total,all,06081,257941
