GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Householder under 25 years:,Margin of Error; Householder under 25 years:,"Estimate; Householder under 25 years: - Less than $10,000","Margin of Error; Householder under 25 years: - Less than $10,000","Estimate; Householder under 25 years: - $10,000 to $14,999","Margin of Error; Householder under 25 years: - $10,000 to $14,999","Estimate; Householder under 25 years: - $15,000 to $19,999","Margin of Error; Householder under 25 years: - $15,000 to $19,999","Estimate; Householder under 25 years: - $20,000 to $24,999","Margin of Error; Householder under 25 years: - $20,000 to $24,999","Estimate; Householder under 25 years: - $25,000 to $29,999","Margin of Error; Householder under 25 years: - $25,000 to $29,999","Estimate; Householder under 25 years: - $30,000 to $34,999","Margin of Error; Householder under 25 years: - $30,000 to $34,999","Estimate; Householder under 25 years: - $35,000 to $39,999","Margin of Error; Householder under 25 years: - $35,000 to $39,999","Estimate; Householder under 25 years: - $40,000 to $44,999","Margin of Error; Householder under 25 years: - $40,000 to $44,999","Estimate; Householder under 25 years: - $45,000 to $49,999","Margin of Error; Householder under 25 years: - $45,000 to $49,999","Estimate; Householder under 25 years: - $50,000 to $59,999","Margin of Error; Householder under 25 years: - $50,000 to $59,999","Estimate; Householder under 25 years: - $60,000 to $74,999","Margin of Error; Householder under 25 years: - $60,000 to $74,999","Estimate; Householder under 25 years: - $75,000 to $99,999","Margin of Error; Householder under 25 years: - $75,000 to $99,999","Estimate; Householder under 25 years: - $100,000 to $124,999","Margin of Error; Householder under 25 years: - $100,000 to $124,999","Estimate; Householder under 25 years: - $125,000 to $149,999","Margin of Error; Householder under 25 years: - $125,000 to $149,999","Estimate; Householder under 25 years: - $150,000 to $199,999","Margin of Error; Householder under 25 years: - $150,000 to $199,999","Estimate; Householder under 25 years: - $200,000 or more","Margin of Error; Householder under 25 years: - $200,000 or more",Estimate; Householder 25 to 44 years:,Margin of Error; Householder 25 to 44 years:,"Estimate; Householder 25 to 44 years: - Less than $10,000","Margin of Error; Householder 25 to 44 years: - Less than $10,000","Estimate; Householder 25 to 44 years: - $10,000 to $14,999","Margin of Error; Householder 25 to 44 years: - $10,000 to $14,999","Estimate; Householder 25 to 44 years: - $15,000 to $19,999","Margin of Error; Householder 25 to 44 years: - $15,000 to $19,999","Estimate; Householder 25 to 44 years: - $20,000 to $24,999","Margin of Error; Householder 25 to 44 years: - $20,000 to $24,999","Estimate; Householder 25 to 44 years: - $25,000 to $29,999","Margin of Error; Householder 25 to 44 years: - $25,000 to $29,999","Estimate; Householder 25 to 44 years: - $30,000 to $34,999","Margin of Error; Householder 25 to 44 years: - $30,000 to $34,999","Estimate; Householder 25 to 44 years: - $35,000 to $39,999","Margin of Error; Householder 25 to 44 years: - $35,000 to $39,999","Estimate; Householder 25 to 44 years: - $40,000 to $44,999","Margin of Error; Householder 25 to 44 years: - $40,000 to $44,999","Estimate; Householder 25 to 44 years: - $45,000 to $49,999","Margin of Error; Householder 25 to 44 years: - $45,000 to $49,999","Estimate; Householder 25 to 44 years: - $50,000 to $59,999","Margin of Error; Householder 25 to 44 years: - $50,000 to $59,999","Estimate; Householder 25 to 44 years: - $60,000 to $74,999","Margin of Error; Householder 25 to 44 years: - $60,000 to $74,999","Estimate; Householder 25 to 44 years: - $75,000 to $99,999","Margin of Error; Householder 25 to 44 years: - $75,000 to $99,999","Estimate; Householder 25 to 44 years: - $100,000 to $124,999","Margin of Error; Householder 25 to 44 years: - $100,000 to $124,999","Estimate; Householder 25 to 44 years: - $125,000 to $149,999","Margin of Error; Householder 25 to 44 years: - $125,000 to $149,999","Estimate; Householder 25 to 44 years: - $150,000 to $199,999","Margin of Error; Householder 25 to 44 years: - $150,000 to $199,999","Estimate; Householder 25 to 44 years: - $200,000 or more","Margin of Error; Householder 25 to 44 years: - $200,000 or more",Estimate; Householder 45 to 64 years:,Margin of Error; Householder 45 to 64 years:,"Estimate; Householder 45 to 64 years: - Less than $10,000","Margin of Error; Householder 45 to 64 years: - Less than $10,000","Estimate; Householder 45 to 64 years: - $10,000 to $14,999","Margin of Error; Householder 45 to 64 years: - $10,000 to $14,999","Estimate; Householder 45 to 64 years: - $15,000 to $19,999","Margin of Error; Householder 45 to 64 years: - $15,000 to $19,999","Estimate; Householder 45 to 64 years: - $20,000 to $24,999","Margin of Error; Householder 45 to 64 years: - $20,000 to $24,999","Estimate; Householder 45 to 64 years: - $25,000 to $29,999","Margin of Error; Householder 45 to 64 years: - $25,000 to $29,999","Estimate; Householder 45 to 64 years: - $30,000 to $34,999","Margin of Error; Householder 45 to 64 years: - $30,000 to $34,999","Estimate; Householder 45 to 64 years: - $35,000 to $39,999","Margin of Error; Householder 45 to 64 years: - $35,000 to $39,999","Estimate; Householder 45 to 64 years: - $40,000 to $44,999","Margin of Error; Householder 45 to 64 years: - $40,000 to $44,999","Estimate; Householder 45 to 64 years: - $45,000 to $49,999","Margin of Error; Householder 45 to 64 years: - $45,000 to $49,999","Estimate; Householder 45 to 64 years: - $50,000 to $59,999","Margin of Error; Householder 45 to 64 years: - $50,000 to $59,999","Estimate; Householder 45 to 64 years: - $60,000 to $74,999","Margin of Error; Householder 45 to 64 years: - $60,000 to $74,999","Estimate; Householder 45 to 64 years: - $75,000 to $99,999","Margin of Error; Householder 45 to 64 years: - $75,000 to $99,999","Estimate; Householder 45 to 64 years: - $100,000 to $124,999","Margin of Error; Householder 45 to 64 years: - $100,000 to $124,999","Estimate; Householder 45 to 64 years: - $125,000 to $149,999","Margin of Error; Householder 45 to 64 years: - $125,000 to $149,999","Estimate; Householder 45 to 64 years: - $150,000 to $199,999","Margin of Error; Householder 45 to 64 years: - $150,000 to $199,999","Estimate; Householder 45 to 64 years: - $200,000 or more","Margin of Error; Householder 45 to 64 years: - $200,000 or more",Estimate; Householder 65 years and over:,Margin of Error; Householder 65 years and over:,"Estimate; Householder 65 years and over: - Less than $10,000","Margin of Error; Householder 65 years and over: - Less than $10,000","Estimate; Householder 65 years and over: - $10,000 to $14,999","Margin of Error; Householder 65 years and over: - $10,000 to $14,999","Estimate; Householder 65 years and over: - $15,000 to $19,999","Margin of Error; Householder 65 years and over: - $15,000 to $19,999","Estimate; Householder 65 years and over: - $20,000 to $24,999","Margin of Error; Householder 65 years and over: - $20,000 to $24,999","Estimate; Householder 65 years and over: - $25,000 to $29,999","Margin of Error; Householder 65 years and over: - $25,000 to $29,999","Estimate; Householder 65 years and over: - $30,000 to $34,999","Margin of Error; Householder 65 years and over: - $30,000 to $34,999","Estimate; Householder 65 years and over: - $35,000 to $39,999","Margin of Error; Householder 65 years and over: - $35,000 to $39,999","Estimate; Householder 65 years and over: - $40,000 to $44,999","Margin of Error; Householder 65 years and over: - $40,000 to $44,999","Estimate; Householder 65 years and over: - $45,000 to $49,999","Margin of Error; Householder 65 years and over: - $45,000 to $49,999","Estimate; Householder 65 years and over: - $50,000 to $59,999","Margin of Error; Householder 65 years and over: - $50,000 to $59,999","Estimate; Householder 65 years and over: - $60,000 to $74,999","Margin of Error; Householder 65 years and over: - $60,000 to $74,999","Estimate; Householder 65 years and over: - $75,000 to $99,999","Margin of Error; Householder 65 years and over: - $75,000 to $99,999","Estimate; Householder 65 years and over: - $100,000 to $124,999","Margin of Error; Householder 65 years and over: - $100,000 to $124,999","Estimate; Householder 65 years and over: - $125,000 to $149,999","Margin of Error; Householder 65 years and over: - $125,000 to $149,999","Estimate; Householder 65 years and over: - $150,000 to $199,999","Margin of Error; Householder 65 years and over: - $150,000 to $199,999","Estimate; Householder 65 years and over: - $200,000 or more","Margin of Error; Householder 65 years and over: - $200,000 or more"
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",1293,73,21,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,28,0,12,0,12,0,12,0,12,189,47,9,14,0,12,28,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,13,24,23,20,19,99,38,631,86,15,17,10,17,12,18,18,21,0,12,0,12,0,12,0,12,0,12,39,50,18,19,50,36,58,39,50,34,62,37,299,84,452,78,0,12,0,12,12,21,0,12,0,12,33,29,0,12,0,12,0,12,14,21,25,22,74,39,112,50,32,29,53,36,97,67
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",830,46,7,11,0,12,0,12,0,12,7,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,305,52,5,8,0,12,0,12,0,12,0,12,0,12,0,12,0,12,28,42,16,17,15,17,26,22,16,13,50,26,51,33,98,39,278,37,0,12,0,12,0,12,0,12,5,7,0,12,12,13,0,12,0,12,31,25,7,12,46,28,0,12,27,27,26,21,124,34,240,51,5,8,0,12,5,8,0,12,0,12,0,12,6,10,5,8,0,12,13,15,17,19,54,51,54,23,13,15,26,19,42,22
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",2472,111,83,72,0,17,0,17,0,17,0,17,26,29,42,65,15,24,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,1121,149,100,105,36,42,0,17,13,22,12,19,36,36,0,17,87,71,0,17,116,89,42,39,121,72,109,60,74,53,61,43,314,93,790,127,25,31,25,27,65,83,16,26,30,35,29,34,49,44,13,22,0,17,66,67,26,28,116,75,59,49,80,61,46,44,145,68,478,111,0,17,185,116,0,17,0,17,37,45,15,23,0,17,33,48,46,54,24,38,22,35,0,17,38,47,0,17,26,32,52,57
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",1902,51,33,50,33,50,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,981,100,75,67,10,15,51,59,0,12,8,14,46,35,8,14,44,47,31,27,33,36,66,42,161,73,159,74,42,29,111,72,136,48,574,94,30,31,0,12,10,17,9,13,27,32,10,15,0,12,12,17,9,14,21,22,60,38,70,54,75,69,91,56,66,39,84,48,314,75,5,8,67,37,7,11,14,24,0,12,7,12,26,20,4,7,0,12,14,17,53,57,19,22,46,29,29,31,23,22,0,12
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",1587,86,48,39,17,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,31,34,0,12,0,12,0,12,0,12,0,12,766,98,12,19,31,49,0,12,16,19,59,56,48,51,17,19,22,25,8,13,26,19,90,52,187,90,113,66,38,30,43,30,56,39,593,106,9,15,55,38,0,12,32,21,63,51,25,23,7,10,24,26,0,12,64,49,88,57,59,47,71,56,19,21,54,37,23,22,180,55,10,15,49,53,0,12,0,12,0,12,18,23,10,16,17,18,6,12,0,12,0,12,49,30,21,31,0,12,0,12,0,12
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",709,58,25,22,4,7,0,12,0,12,5,8,0,12,0,12,8,12,0,12,0,12,0,12,0,12,8,13,0,12,0,12,0,12,0,12,323,77,10,15,18,29,15,23,20,24,40,59,0,12,0,12,15,17,6,10,85,62,18,15,33,22,19,17,5,7,16,17,23,18,281,64,22,29,0,12,0,12,26,24,34,45,12,21,19,31,0,12,4,6,17,27,0,12,28,18,32,39,15,18,72,30,0,12,80,38,4,7,6,10,14,20,13,16,11,18,0,12,0,12,4,7,4,7,8,8,0,12,13,14,0,12,0,12,3,6,0,12
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",1756,117,66,51,0,12,0,12,9,14,8,13,8,13,34,43,0,12,0,12,0,12,7,11,0,12,0,12,0,12,0,12,0,12,0,12,650,141,51,65,55,67,8,12,32,39,37,30,16,18,0,12,70,71,122,106,15,18,67,48,24,25,21,23,44,35,62,61,26,25,731,117,53,55,31,30,0,12,81,70,91,77,37,30,92,60,34,55,21,24,50,36,47,31,46,39,40,33,85,60,23,26,0,12,309,74,19,22,110,58,48,35,39,31,0,12,27,25,19,20,29,25,0,12,0,12,0,12,0,12,0,12,18,19,0,12,0,12
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",1509,114,78,45,7,11,0,12,0,12,0,12,0,12,0,12,0,12,7,13,35,31,0,12,0,12,6,11,18,32,0,12,0,12,5,8,636,106,47,52,0,12,43,55,0,12,48,51,0,12,15,17,25,40,41,38,9,14,97,59,171,85,19,26,52,49,19,22,50,40,524,93,29,26,43,47,42,53,8,12,29,32,54,41,19,23,10,17,12,19,40,39,73,58,34,33,19,20,31,29,63,49,18,20,271,72,14,12,37,38,10,17,30,37,54,42,5,8,39,40,6,10,0,12,16,18,9,14,22,21,15,18,0,12,0,12,14,16
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",1043,68,35,29,5,9,0,12,0,12,0,12,0,12,6,9,0,12,0,12,7,11,0,12,6,10,11,18,0,12,0,12,0,12,0,12,475,94,16,24,19,22,30,31,0,12,6,10,23,30,16,27,0,12,22,35,43,42,136,75,36,39,45,40,34,48,27,42,22,23,365,79,25,30,31,37,31,48,56,55,6,10,7,16,0,12,0,12,0,12,91,80,15,35,29,25,8,14,0,12,35,43,31,49,168,41,48,42,8,13,19,21,5,10,0,12,7,10,0,12,0,12,20,33,25,37,0,12,12,19,24,21,0,12,0,12,0,12
