county,income-range,< 25,25-44,45-64,65+
Alameda,$0 ,4357,9723,9935,5110
Alameda,"$10,000 ",1511,6244,8596,9817
Alameda,"$15,000 ",1267,6565,6292,8149
Alameda,"$20,000 ",1037,6898,6808,6619
Alameda,"$25,000 ",1070,6833,6264,6206
Alameda,"$30,000 ",811,7131,6109,4822
Alameda,"$35,000 ",905,6932,6405,4564
Alameda,"$40,000 ",986,8070,6550,4285
Alameda,"$45,000 ",679,7189,5565,3946
Alameda,"$50,000 ",1270,14752,14378,7149
Alameda,"$60,000 ",1742,19652,19599,8512
Alameda,"$75,000 ",1635,26318,27879,10717
Alameda,"$100,000 ",577,23145,23783,7099
Alameda,"$125,000 ",251,15172,17542,4619
Alameda,"$150,000 ",305,19933,23972,4908
Alameda,"$200,000 ",187,20363,29585,5777
Contra Costa,$0 ,1351,4532,5657,3350
Contra Costa,"$10,000 ",673,3197,4313,5490
Contra Costa,"$15,000 ",769,3617,3502,5102
Contra Costa,"$20,000 ",656,4011,4359,4704
Contra Costa,"$25,000 ",616,4008,3496,4317
Contra Costa,"$30,000 ",772,3967,4615,4294
Contra Costa,"$35,000 ",448,3612,4251,4600
Contra Costa,"$40,000 ",517,5275,3905,3764
Contra Costa,"$45,000 ",278,4405,3980,3706
Contra Costa,"$50,000 ",983,8387,9653,5974
Contra Costa,"$60,000 ",750,11339,13866,8507
Contra Costa,"$75,000 ",781,15879,21236,9214
Contra Costa,"$100,000 ",392,14779,18480,6185
Contra Costa,"$125,000 ",165,9141,14704,3893
Contra Costa,"$150,000 ",257,12878,19999,4295
Contra Costa,"$200,000 ",94,13144,26231,4540
Marin,$0 ,166,724,1426,967
Marin,"$10,000 ",29,736,1515,1664
Marin,"$15,000 ",129,818,928,1487
Marin,"$20,000 ",82,761,1179,1377
Marin,"$25,000 ",128,750,914,1273
Marin,"$30,000 ",67,972,1204,1458
Marin,"$35,000 ",65,862,1158,1274
Marin,"$40,000 ",68,845,1567,946
Marin,"$45,000 ",45,668,978,1127
Marin,"$50,000 ",30,1581,2338,1920
Marin,"$60,000 ",25,1900,3003,2506
Marin,"$75,000 ",130,3162,5470,2811
Marin,"$100,000 ",81,2549,4997,2616
Marin,"$125,000 ",10,2000,3765,1858
Marin,"$150,000 ",0,3017,5644,1987
Marin,"$200,000 ",0,4835,10616,3704
San Francisco,$0 ,3286,6617,7781,5525
San Francisco,"$10,000 ",777,3525,6523,10444
San Francisco,"$15,000 ",699,2399,4106,5877
San Francisco,"$20,000 ",887,3444,4855,4795
San Francisco,"$25,000 ",522,3484,3843,3674
San Francisco,"$30,000 ",629,4094,4027,3445
San Francisco,"$35,000 ",579,3370,3456,2667
San Francisco,"$40,000 ",438,3793,3499,2806
San Francisco,"$45,000 ",478,3747,3244,2325
San Francisco,"$50,000 ",842,7961,6981,3717
San Francisco,"$60,000 ",1007,11673,9066,4597
San Francisco,"$75,000 ",979,17535,13680,5714
San Francisco,"$100,000 ",945,16705,10920,4024
San Francisco,"$125,000 ",410,11225,8319,2620
San Francisco,"$150,000 ",624,18481,10325,2767
San Francisco,"$200,000 ",546,27826,16170,4025
San Mateo,$0 ,642,2079,2866,2440
San Mateo,"$10,000 ",301,1153,1993,3336
San Mateo,"$15,000 ",196,1597,1868,3210
San Mateo,"$20,000 ",251,1863,2326,3085
San Mateo,"$25,000 ",385,2333,2102,3335
San Mateo,"$30,000 ",236,2795,2532,2695
San Mateo,"$35,000 ",119,2024,2358,2642
San Mateo,"$40,000 ",341,2777,3344,2562
San Mateo,"$45,000 ",296,2710,2578,2146
San Mateo,"$50,000 ",385,5808,5925,4575
San Mateo,"$60,000 ",440,8134,9445,5271
San Mateo,"$75,000 ",829,11998,14098,6227
San Mateo,"$100,000 ",198,9663,11345,4743
San Mateo,"$125,000 ",82,8316,9147,3403
San Mateo,"$150,000 ",21,10278,12906,3254
San Mateo,"$200,000 ",89,15390,22030,4425
